<id>	<title>	<RealName>	<CurrentAlias>	<Affiliation>	<Relatives>	<Universe>	<Gender>	<Height>	<Weight>	<Eyes>	<Hair>	<Citizenship>	<Quotation>
1893	Sublime (Earth-616)	[[Sublime]]	[[John Sublime]]	{{M|Weapon Plus}}, {{M|Weapon X}}, {{M|U-Men|U-Men/TransSpecies Movement}}, Megacorp, master of [[Children (Sinister's) (Earth-616)|The Children]]	[[Arkea (Earth-616)|Arkea]] (sibling/sister)	Earth-616	NA	5'8&quot;	162 lbs	Blue	Black	NA	You mutants think it's your turn to rule the world. But there's a '''third''' voice, a third species-- man plus. And to us, you're just '''livestock'''. 	
1894	Helen Takahama (Earth-616)	Helen Takahama 	Jolt	{{M|Young Allies (Heroes Reborn)|Young Allies}}; formerly {{M|Redeemers}}, {{M|Thunderbolts}}	[[Robert Takahama (Earth-616)|Robert Takahama]] (father, deceased), [[Jane Takahama (Earth-616)|Jane Takahama]] (mother, deceased) 	Earth-616	Female	5'5&quot;	109 lbs (50 kg)	Blue	Black	American	| Quotation              = We've got to &lt;b&gt;stick together&lt;/b&gt;! It's the only way through this -- &lt;b&gt;anything&lt;/b&gt;! We can't just &lt;b&gt;abandon&lt;/b&gt; each other! Nobody's &lt;b&gt;sacrificing&lt;/b&gt; themselves, and nobody's leaving anyone &lt;b&gt;alone&lt;/b&gt;! I've &lt;b&gt;been&lt;/b&gt; through that already -- and I don't &lt;b&gt;like&lt;/b&gt; it!	
1895	Gabriel Jones (Earth-616)	Gabriel &quot;Gabe&quot; Jones	Gabe Jones	Formerly {{m|Howling Commandos Private Military Company|Howling Commandos (PMC)}}, {{M|United States Army}} ({{m|Howling Commandos (Earth-616)|Howling Commandos}} during [[World War II]] &amp; [[Korean War]]), {{M|Strategic Homeland Intervention, Enforcement and Logistics Division|S.H.I.E.L.D.}} {{m|Godzilla Squad}}, {{m|Secret Empire}} (double agent for S.H.I.E.L.D.)	[[Bill Leonard (Earth-616)|Bill Leonard]] (uncle),&lt;br&gt;[[Phil Leonard]] (nephew),&lt;br&gt;[[Carla Williams (Earth-616)|Carla Williams]] (ex-fiancé)	Earth-616	Male	6'2&quot;	225 lbs (102 kg)	Brown	Black	American	Ya know, it's a funny thing... but Aryan heads smack together with the same sound as non-Aryan ones! There's probably a moral there somewhere, if I could just figure it out! Oh, well...	
1896	Richard Jones (Earth-616)	[[Rick Jones|Richard Milhouse &quot;Rick&quot; Jones]]	NA	Formerly {{M|Strategic Homeland Intervention, Enforcement and Logistics Division|S.H.I.E.L.D.}}, {{M|Incredible Hulks|Hulk Family}}, {{M|Avengers}} (honorary member), partner of the [[Bruce Banner (Earth-616)|Hulk]], [[Captain America (Steven Rogers)|Captain America]] and [[Mar-Vell (Earth-616)|Captain Marvel]], {{M|Teen Brigade}}, ally of [[Rom (Earth-616)|Rom]], sponsor of the [[Loners (Earth-616)|Loners]]	[[Marlo Chandler (Earth-616)|Marlo Chandler-Jones]] (wife);&lt;br&gt;	Earth-616	Male	5'9&quot;	165 lbs	Brown	Brown	American	It's too much for me! I've got the most powerful thing in the world under my control, and I don't know what to do with it! But one thing I do know... I don't dare go to sleep again, unless he's locked up back in his dungeon!	
1897	Joseph (Earth-616)	[[Joseph]]	Magneto	Formerly {{M|Brotherhood of Evil Mutants|Brotherhood}}; {{M|X-Men}}, {{M|Acolytes}}	[[Astra (Mutant) (Earth-616)|Astra]] (creator);&lt;br&gt;	Earth-616	Male	6'2&quot;	190 lbs (86 kg)	Blue	White	NA	| Quotation           = Several weeks of serving as a guinea pig is a small price to pay to learn the '''truth''' about my very existence, [[Ruth Bat-Seraph (Earth-616)|Ruth]].	
1898	Joyboy (Earth-TRN300)	Joyboy	NA	[[Technet (Multiverse)|Technet]][[Category:Technet members]]	NA	Earth-TRN300	Male	NA	NA	NA	None	NA	NA	
1899	Janice Yanizeski (Earth-616)	Janice Olivia Yanizeski	Joystick	Formerly {{M|Thunderbolts}}, {{M|Masters of Evil}},  {{M|Great Game}}, {{M|Initiative}}	Walter Yanizeski (father), Olivia Yanizeski (mother)	Earth-616	Female	5'8&quot;	143 lbs	Hazel	Brown	American	Anyone can crush a body, but crushing a '''spirit...''' that's when you know you've '''really''' won.	
1900	Jubilation Lee (Earth-616)	Jubilation Lee	| CurrentAliasRef         = {{r|Uncanny X-Men Vol 1 244}}	{{M|X-Men|X-Men (Gold Team)}}; formerly {{M|Patsy Walker Temp Agency}}, {{M|Forgiven}}, {{M|New Warriors}}, {{M|X-Corps}}, {{M|Generation X}}	Dr. Lee (father, deceased);&lt;br&gt;	Earth-616	Female	5'5&quot;	115 lbs (48 kg)	Brown	Black	American	There's something different in all of us, and nothing-- not a spell, big gloves, '''nothing'''-- can change that or take it away. We're all still mutants.	
1901	Cain Marko (Earth-616)	Cain Marko	[[Juggernaut]]	{{m|Disciples of Cyttorak}}; formerly partner of [[Thomas Cassidy (Earth-616)|Black Tom Cassidy]], {{m|United States Army|U.S. Army}}, {{m|Exemplars}}, New World Order, {{m|Exiles (Warstrike) (Earth-93060)|Exiles}}, {{m|Legion Accursed}}, {{m|X-Men}}, {{m|Brotherhood of Evil Mutants}}, {{m|Excalibur}}, {{m|Thunderbolts}}, {{m|Worthy}}	[[Kurt Marko (Earth-616)|Dr. Kurt Marko]] (father, deceased);&lt;br&gt;	Earth-616	Male	9'5&quot;	1900 lbs	Blue	Red	American	I'm the Juggernaut! Ain't nothin' -- ain't nobody -- can beat me!	
1902	Vance Astrovik (Earth-616)	[[Vance Astrovik]]	[[Justice]]	{{M|New Warriors}}; formerly {{M|Avengers}} (reserve member){{r|Avengers NOW! #1}}, {{M|Avengers Academy}}, {{M|50-State Initiative|Initiative}}, partner of [[Angelica Jones (Earth-616)|Firestar]], Triune Understanding, {{M|Unlimited Class Wrestling Federation}}, [[Tony Masters (Earth-616)|Taskmaster]]'s Circus, {{m|Secret Avengers (Civil War) (Earth-616)|Secret Avengers (Civil War)}}, {{m|Childwatch (Earth-616)}}	NA	Earth-616	Male	5'10&quot;	180 lbs (81.6 kg)	Hazel 	Brown	American	Avengers Resistance... '''Assemble!'''	
1903	Kevin Plunder (Earth-616)	Lord Kevin Reginald Plunder	Ka-Zar	Partner of [[Shanna the She-Devil]] and [[Zabu (Earth-616)|Zabu]], [[United Council of Tribes (Earth-616)|United Council of Tribes]]	[[Shanna O'Hara (Earth-616)|Shanna O'Hara]] (wife);&lt;br&gt;[[Matthew Plunder (Earth-616)|Matthew]] (son);&lt;br&gt;[[Robert Plunder (Earth-616)|Lord Robert Plunder]] (father, deceased);&lt;br&gt;Lady Blanche (mother, deceased);&lt;br&gt;[[Edgar Plunder (Earth-616)|Parnival]] (brother);&lt;br&gt;Chaucewell (cousin)	Earth-616	Male	6'2&quot;	215 lbs	Blue	Blond	British	So! They dare to break the law of Ka-Zar! For that, they must pay the price! The time is come for them to face... the wrath of Ka-Zar! For none may break the jungle law!	
1904	Kaine Parker (Earth-616)	[[Kaine Parker]]	[[Scarlet Spider]]	Ally of [[Ben Reilly (Earth-616)|Scarlet Spider]]; formerly {{m|Warriors of the Great Web (Earth-001)|Warriors of the Great Web}}, {{M|New Warriors}}, [[Spider-Army (Multiverse)|Spider-Army]]; partner of [[María Aracely Penalba (Earth-616)|Hummingbird]], ally of [[Peter Parker (Earth-616)|Spider-Man]], [[Wally Layton (Earth-616)|Lieutenant Wally Layton]], [[Annabelle Adams (Earth-616)|Annabelle Adams]], [[Donald Meland (Earth-616)|Dr. Donald Meland]], [[Eugene Thompson (Earth-616)|Agent Venom]], [[Redeemer (Microverse) (Earth-616)|Redeemer]], [[Zoe Walsh (Earth-616)|Zoe Walsh]], [[Miles Warren (Earth-616)|Jackal]], [[Damon Ryder (Earth-616)|Raptor]], [[Shannon Fitzpatrick (Earth-616)|Muse]], [[Louise Kennedy (Earth-616)|Officer Louise Kennedy]]	[[Miles Warren (Earth-616)|Miles Warren]] (creator);&lt;br&gt;[[Peter Parker (Earth-616)|Peter Parker]] (genetic template);&lt;br&gt;[[Ben Reilly (Earth-616)|Ben Reilly]] (fellow clone);&lt;br&gt;[[Spidercide (Earth-616)|Spidercide]] (fellow clone, allegedly deceased);&lt;br&gt;[[Guardian (Spider-Clone) (Earth-616)|Guardian]] (fellow clone, deceased);&lt;br&gt;[[Jack (Spider-Clone) (Earth-616)|Jack]] (fellow clone, deceased);&lt;br&gt;[[Spider-Skeleton (Earth-616)|Spider-Skeleton]] (fellow clone, deceased)	Earth-616	Male	6'4&quot;	250 lbs 	Brown	Brown	American	Kaine came down [[Houston|here]] to get away from the insanity of [[Peter Parker (Earth-616)|Spider-Man]]'s world. But then he put on a [[Spider-Man's Stealth Suit|costume]] and fought crime anyway. He wanted [[Scarlet Spider Vol 2|all the '''power''', and none of the '''responsibility''']]. But he took it on anyway. He found a home here. He had '''friends''' here. A city that counted in him. And while he may not have '''liked''' it... turns out Kaine is every bit the hero that I am. Wherever he is... I hope my '''brother''' has found peace.	
1905	Kala (Earth-616)	Kala	NA	Partner of the [[Mole Man (Harvey Elder)|Mole Man]]	[[Baxu (Earth-616)|Baxu]] (husband, deceased)	Earth-616	Female	5'8&quot;  	135 lbs	Blue	Black	Netherworlder	NA	
1906	Kaluu (Earth-616)	[[Kaluu]]	NA	Formerly {{m|Mighty Avengers (Cage) (Earth-616)|Mighty Avengers}}, {{m|Mighty Avengers (1970s) (Earth-616)|Mighty Avengers (1970s)}}	 	Earth-616	Male	6'5&quot;	190 lbs	Yellow	Black	Kamar-Taj	For lo, these hundreds of years, I have fed my hate, planned my return! The destruction of my companion will be all the more sweet because I shall accomplish it alone, with no aid from anyone -- or anything!	
1907	Haruo Tsuburaya (Earth-616)	Haruo Tsuburaya	Kamikaze	{{M|Mutant Liberation Front (Earth-616)|MLF}}	[[Ishiro Tsuburaya (Earth-616)|Samurai]] (brother)	Earth-616	Male	NA	NA	NA	Black	Japanese	NA	
1909	Nathaniel Richards (Kang) (Earth-6311)	Nathaniel Richards 	[[Kang the Conqueror]]	Leader of the [[Chronos Corps (Multiverse)|Chronos Corps]]; former leader of the {{m|Anachronauts (Earth-616)|Anachronauts}}, [[Council of Kangs (Multiverse)|Council of Kangs]], and [[Council of Cross-Time Kangs (Multiverse)|Council of Cross-Time Kangs]], {{m|Legion Accursed (Earth-616)|Legion Accursed}}, {{m|Hel-Rangers (Earth-15513)|Hel-Rangers}}	Matriarch of the Eyriennes (ancestor);&lt;br&gt;	Earth-6311	Male	6'3&quot;	230 lbs (105 kg)	Brown	Brown	| Citizenship1            = Limbo (Temporal)	Story is not '''written,''' [[Nathaniel Richards (Immortus) (Earth-6311)|scholar]]-- and neither is '''destiny!''' History is '''made!''' Made by the deeds of the '''strong!''' The '''brave!''' And destiny is '''forged!''' The historians, the students, the gray-beards-- they '''come''' in the '''wake''' of the strong and write down what the '''brave''' have done! But it is the conquerors who change the world!	
1910	Frank Oliver (Earth-616)	Frank Oliver	[[Kangaroo]]	{{m|New U Technologies (Earth-616)|New U Technologies}}; former partner of [[Jonas Harrow (Earth-616)|Dr. Jonas Harrow]]	NA	Earth-616	Male	6'3&quot;	235lbs	Brown	Blond	Australia 	I don't care '''who''' makes the law! '''No one's''' pushing '''me''' around again!	
1911	Karen Page (Earth-616)	Karen Page	NA	{{M|Nelson and Murdock (Earth-616)|Nelson and Murdock}}	Dr. [[Paxton Page (Earth-616)|Paxton Page]] (also known as Death's Head, father, deceased), [[Penelope Page (Earth-616)|Penelope Page]] (mother) 	Earth-616	Female	5'7&quot;	125 lbs	Blue	Blonde	American	| Quotation           = Perhaps I shouldn't worry about [[Matthew Murdock (Earth-616)|Matt]] so much, and yet... He seems so helpless, making his way through life without the use of his eyes!	
1912	Karkas (Earth-616)	Karkas 	NA	Ally of the [[Eternals (Race)|Eternals of Earth]], {{m|Delta Force}}	NA	Earth-616	Male	8'3&quot;	1260 lbs (573 kg)	Black	None	Deviant Lemuria	NA	
1914	Xi'an Coy Manh (Earth-616)	Xi'an Coy Manh	[[Karma]]	{{m|New Mutants}} (co-leader), {{m|Hatchi Corporation}}; formerly {{m|Utopians}}, {{m|X-Men (New Charles Xavier School)}}, {{m|X-Men}}, {{m|Hellions}}, {{m|Gladiators}}, {{m|Alpha Squadron}}	[[Nguyen Ngoc Coy (Earth-616)|General Nguyen Ngoc Coy]] (uncle, deceased);&lt;br&gt;	Earth-616	Female	5'4&quot;	119 lbs	Brown	Black	Vietnamese	| Quotation           = I am... I am someone I don't recognize anymore. I don't know what's real and what's in my head. This isn't the first time I've lost myself... but it was so sudden. One second I was with my team, but my guard was down. And something wriggled inside my head. Something -- someone stole my life.	
1915	Karnak Mander-Azur (Earth-616)	[[Karnak|Karnak Mander-Azur]]	NA	{{m|Friends of the Tower}}; formerly {{m|Warriors}}, {{m|House of Agon (Earth-616)|Inhuman Royal Family}}, {{M|Universal Inhumans}}, {{m|Galactic Council}}, {{M|Imperial Guard}}{{r|Inhumans Vol 3 #3|4}}	[[Mander (Earth-616)|Mander]], [[Azur (Earth-616)|Azur]] (parents, deceased);&lt;br&gt;	Earth-616	Male	5'7&quot;	150 lbs 	Blue 	Black	Attilan	In time, '''all''' we rely on will shatter and fall. Inside the marble is the '''statue.''' Inside the statue is the '''rubble.''' Inside the rubble, the '''dust.''' Inchoate in '''all things''' are their '''broken states.''' The '''world''' is broken, Gorgon. I only force it to '''admit''' that.	
1916	Karnilla (Earth-616)	Karnilla	NA	[[Norns (Fates) (Earth-616)|Norns]]	[[Hela (Earth-616)|Hela]] (wife)	Earth-616	Female	6'6&quot;	475 lbs (216 kg)	Purple	Black	Nornheim	NA	
1917	Katu Kath (Earth-616)	Katu Kath	Katu	{{M|Acolytes}}	unnamed son (deceased);{{r|Cable #10}}&lt;br&gt;	Earth-616	Male	5'11&quot;	171 lbs (78 kg)	White	Grey	Russian	NA	
1918	Keeyah (Earth-616)	Keeyah 	NA	{{M|Starjammers}}	NA	Earth-616	Male	NA	NA	NA	NA	Kree Empire	NA	
1919	Robert Kelly (Earth-616)	Robert Edward Kelly	Robert Kelly	Formerly {{M|United States Senate}}, {{m|Project Wideawake|Project: Wideawake}}	[[Sharon Kelly (Earth-616)|Sharon Kelly]] (wife, deceased)	Earth-616	Male	5'10&quot;	175 lbs (80 kg)	Brown	Brown	American	| Quotation           = I stand in the shadow of a man who said a house divided against itself cannot stand. I stand in the shadow of a man for whom the preservation of the union -- and the ideals and hopes and '''freedoms''' for which it '''stands''' -- was worth any price, even his own '''life'''. Now, as then, this land we love faces a clear and present '''danger''', to its liberty and its future. For '''Abraham Lincoln''', the challenge was slavery. For us, on this cusp of the 21st century, it is '''mutants'''! 	
1920	Geyr Kluge (Earth-616)	Geyr Kluge	[[Key]]	{{M|Euroforce}}; Formerly {{M|EuroLab}}, {{M|Strategic Homeland Intervention, Enforcement and Logistics Division|S.H.I.E.L.D.}}	NA	Earth-616	Male	NA	NA	Blue	Blond	German	NA	
1921	Khordes (Earth-616)	Khordes	NA	NA	NA	Earth-616	Male	NA	NA	NA	NA	NA	NA	
1922	Khoryphos (Earth-616)	Khoryphos	NA	[[Eternals]] of Earth 	NA	Earth-616	Male	6'0&quot;	175 lbs	Blue	Brown	Olympia	NA	
1923	Frederick Kiber (Earth-616)	Frederick Kiber	Kiber the Cruel	NA	NA	Earth-616	Male	6'9	1565 lbs.	Brown	Bald	NA	NA	
1924	Kid Colt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1925	Kierrok (Earth-616)	Kierrok	NA	[[N'Garai]]	Chthon	Earth-616	Male	NA	NA	Yellow	NA	N'Garai	NA	
1926	Simon Maddicks (Earth-616)	Simon Maddicks 	[[Killer Shrike]]	{{M|Sinister Six (Earth-616)|All-New Sinister Six}}; Former agent of the {{M|Roxxon Energy Corporation (Earth-616)|Roxxon Oil Company}}; formerly {{M|Masters of Evil}}, {{m|Air Force}}	NA	Earth-616	Male	6'5&quot;	250 lbs (114 kg) 	Brown	Brown	American	NA	
1927	Erik Killmonger (Earth-616)	Erik Killmonger	Killmonger	NA	[[N'Jobu (Earth-616)|N'Jobu]] (father,deceased);&lt;br&gt;	Earth-616	Male	6'6&quot;	225 lbs	Brown	Black	Wakandan	Our triumph, King Cadaver, is only weeks away.  And the only survivors will pay homage to us.	
1928	Jonathan Raven (Earth-691)	Jonathan Raven	Killraven	{{m|Killraven's Freemen (Earth-691)|Freemen}}; Formally X-51's {{m|Heralds (Earth-9997)|Heralds}} ([[Earth-9997]])	[[Maureen Raven (Earth-691)|Maureen Raven]] (mother, deceased), [[Joshua Raven (Earth-691)|Joshua Raven (Deathraven)]] (brother, deceased)	Earth-691	Male	6'1&quot;	185 lbs (84 kg)	Blue	Red	British	NA	
1929	Christopher Aaronson (Earth-616)	[[Christopher Terrance Aaronson]]	[[King Bedlam]]	{{M|Hellions (King Bedlam) (Earth-616)|New Hellions}}	[[Kyle Aaronson (Earth-616)|Kyle Aaronson]] (father, deceased);&lt;br&gt;[[Nina Aaronson (Earth-616)|Nina Aaronson]] (mother, deceased);&lt;br&gt;[[Jesse Aaronson (Earth-616)|Bedlam]] (brother, deceased);&lt;br&gt;	Earth-616	Male	| Height                  =	| Weight                  =	Brown	Bald	American	NA	
1930	Kingo Sunen (Earth-616)	Kingo Sunen	NA	[[Eternals (Race)|Eternals]]	NA	Earth-616	Male	NA	NA	NA	Black	NA	NA	
1931	Wilson Fisk (Earth-616)	[[Kingpin|Wilson Grant Fisk]]	[[Kingpin]]	Leader of {{M|Assassins Guild (Earth-616)|the Assassins Guild}}; formerly leader of {{m|Hand (Earth-616)|The Hand (American Branch)}}, {{m|Si-Fan}}, leader of a coalition of East Coast non-Maggia criminal organizations, director of  {{m|Hydra (Earth-616)|Hydra (Las Vegas faction)}}, {{M|Emissaries of Evil (Kingpin) (Earth-616)|Emissaries of Evil}}, {{m|Damage Control}}, {{m|Fisk Industries}}	Anatoly Fyskov (ancestor, deceased);&lt;br&gt;	Earth-616	Male	6'7&quot;	450 lbs	Blue	Bald	American	The underworld will now be run like a '''Business'''.. and the '''Chairman of the Board''' will be .. '''The Kingpin!'''	
1932	Kismet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1933	Ulysses Klaw (Earth-616)	Ulysses S. Klaw	[[Klaw]]	Formerly {{M|Army of Evil (Earth-616)|Army of Evil}}, {{m|Intelligencia (Earth-616)|Intelligencia}}, {{m|Frightful Four (Earth-616)|Frightful Four}}, {{m|Masters of Evil (Earth-616)|Masters of Evil}} and {{M|Fearsome Foursome (Earth-616)|Fearsome Foursome}}; Former ally of [[Silas King (Earth-616)|Solarr]], [[Owen Reece (Earth-616)|Molecule Man]], and [[Victor von Doom (Earth-616)|Doctor Doom]], {{M|Pacific Overlords (Earth-616)|Pacific Overlords}}, {{m|Klaw's Team}}	[[Fritz Klaw (Earth-616)|Fritz Klaue]] (father, deceased);&lt;br&gt;Unnamed mother;&lt;br&gt;[[Julia Klaw (Earth-616)|Julia Klaw]] (sister);&lt;br&gt;[[Klaue (19th Century) (Earth-616)|Unnamed great-grandfather]] (deceased){{r|Black Panther Vol 4 #1|#3}}, 	Earth-616	Male	5'11&quot; 	175 lbs (79,25 kg)	Red	Bald	Belgian	Morality is the first step toward cowardice. Your cowardice  has doomed your whole world. I will hunt down and kill everyone and everything you have ever loved. Listen for it... soon you will hear everyone you love &lt;b&gt;scream&lt;/b&gt;.	
1935	Mercedes Knight (Earth-616)	[[Misty Knight|Mercedes &quot;Misty&quot; Knight]]	NA	{{m|Defenders (Valkyrior) (Earth-616)|Defenders}}, {{m|Crew (Earth-616)|The Crew}}, {{m|Federal Bureau of Investigation (Earth-616)|FBI}} {{m|Aberrant Crimes Division (Earth-616)|ACD}}; formerly {{m|New York City Police Department|NYPD}}, {{m|Daughters of the Dragon}}, {{m|Nelson and Murdock}}, {{m|Heroes for Hire (Knight &amp; Wing) (Earth-616)|Heroes for Hire}}, {{m|Misty Knight's Crew}}, {{m|Underground (Secret Empire)|Underground}}	[[Daniel Rand (Earth-616)|Danny Rand]] (ex-fiancee)	Earth-616	Female	5'9&quot;	136 lbs	Brown	Black	American	Hello, hero. This is '''control.''' Are you for '''hire''' tonight?	
1936	Kobar (Place)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1937	Kofi Whitemane (Earth-616)	Kofi Whitemane	NA	Ally of {{M|Power Pack (Earth-616)|Power Pack}}	[[Yrik Whitemane (Earth-616)|Lord Yrik Whitemane]] (father), [[Aelfyre Whitemane (Earth-616)|Aelfyre &quot;Whitey&quot; Whitemane]] (cousin, deceased), [[Byrel Whitemane (Earth-616)|Byrel Whitemane]] (great-uncle)	Earth-616	Male	5'0&quot;	NA	Pink	Black	Kymellian	NA	
1938	Korath the Pursuer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1939	Kormok (Earth-616)	Kormok 	High Priest Kormok	[[Atlanteans]]	NA	Earth-616	Male	NA	NA	NA	Black	Atlantean	NA	
1940	Michael Korvac (Earth-691)	Michael Korvac	[[Korvac]]	formerly {{m|Legion of the Unliving (Earth-616)}}, employer of the  {{m|Minions of Menace (Earth-691)|Intimidators}}, collaborator of the [[Brotherhood of Badoon (Earth-691)|Brotherhood of Badoon]]	Jordan (father, deceased);&lt;br&gt;Myra (mother, deceased);&lt;br&gt;[[Carina Tivan (Earth-616)|Carina]] (wife);&lt;br&gt;[[Taneleer Tivan (Earth-616)|Collector]] (father-in-law);&lt;br&gt; [[Matani Tivan (Earth-616)|Matani Tivan]] (mother-in-law, deceased);&lt;br&gt;[[Jaboa Murphy (Earth-616)|Jaboa Murphy]] (ancestor);&lt;br&gt;Varley (ancestor);&lt;br&gt;Marshack (ancestor)	Earth-691	Male	12'	Variable	Blue	Blond	NA	... I am a '''god!'''  And I '''was''' going to be your '''Savior!'''	
1941	Krang (Earth-616)	[[Krang]]	Warlord Krang	{{m|Defenders (Initiative) (Earth-616)|Defenders}}, [[Homo mermanus|Atlanteans]]; former ally of [[Attuma (Earth-616)|Attuma]], [[Byrrah (Earth-616)|Byrrah]], and [[Lemuel Dorcas (Earth-616)|Dr. Lemuel Dorcas]], employer of the [[Phillip Masters (Earth-616)|Puppet Master]] and [[Orka (Earth-616)|Orka]], former member of the [[Ophelia Sarkissian (Earth-616)|Viper]]'s [[Serpent Squad (Madame Hydra)|Serpent Squad]] 	NA	Earth-616	Male	6'0&quot;	290 lbs	Blue 	Black	Atlantean	NA	
1942	Krakoa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1943	Sergei Kravinoff (Earth-616)	[[Sergei Nikolaevich Kravinoff]]	[[Kraven the Hunter]]	{{M|Army of Evil (Earth-616)|Army of Evil}}; formerly the {{m|Sinister Six}}, {{M|Avengers (1950s) (Earth-616)|1950's Avengers}}, ally of [[Gog (Tsiln) (Earth-616)|Gog]], the [[Martin Blank (Earth-616)|Gibbon]], [[Edward Lansky (Earth-616)|Lightmaster]], [[Calypso Ezili (Earth-616)|Calypso]] and [[Dmitri Smerdyakov (Earth-616)|Chameleon]], {{M|Legion Accursed}}	Nikolai Kravinoff (father, deceased)&lt;br&gt;[[Anna Makarova (Earth-616)|Anna Makarova Kravinoff]] (mother)&lt;br&gt;[[Dmitri Smerdyakov (Earth-616)|Dmitri Smerdyakov]] (half-brother)&lt;br&gt;[[Vladimir Kravinoff (Earth-616)|Vladimir Kravinoff]] (son, deceased)&lt;br&gt;[[Alexei Kravinoff (Earth-616)|Alexei &quot;Alyosha&quot; Kravinoff)]] (son, deceased)&lt;br&gt;[[Nedrocci Tannengarden (Earth-616)|Nedrocci &quot;Ned&quot; Tannengarden]] (son, deceased)&lt;br&gt;[[Anastasia Kravinoff (Earth-616)|Anastasia &quot;Ana Tatiana&quot; Kravinoff]] (daughter)&lt;br&gt;[[Gog (Tsiln) (Earth-616)|Gog]] (adoptive son)&lt;br&gt;[[Aleksandra Nikolaevna (Earth-616)|Aleksandra &quot;Sasha&quot; Nikolaevna Kravinoff]] (wife, deceased) &lt;br&gt;[[Xraven (Earth-616)|Xraven]] (clone)&lt;br&gt; 	Earth-616	Male	6'0&quot;	235 lbs	Brown	Black	| Citizenship5            = Ethiopia	I need to sharpen my stalking skills... if Kraven is to hunt again!!	
1944	Kro (Earth-616)	[[Kro]]	NA	Ruling elite of the [[Deviants (Homo descendus)|Deviants]]; {{m|Delta Force}}	[[Deborah &amp; Donald Ritter (Earth-616)|Deborah Ritter]] (daughter);&lt;br&gt;[[Deborah &amp; Donald Ritter (Earth-616)|Donald Ritter]] (son)	Earth-616	Male	6'5&quot;	320 lbs 	Red	Bald	Deviant Lemuria	NA	
1945	Ivan Krushki (Earth-616)	Ivan Krushki 	NA	{{m|Exiles (Earth-616)|Exiles (Criminal Group)}}	NA	Earth-616	Male	NA	NA	NA	Black	Russian	NA	
1946	Kubik (Earth-616)	Kubik	NA	NA	NA	Earth-616	NA	NA	NA	NA	NA	NA	NA	
1947	Algrim (Earth-616)	[[Algrim]]	Kurse	Formerly the [[Dark Elves]] of [[Svartalfheim]]	NA	Earth-616	Male	7'0&quot;	840 lbs	Yellow	None	Svartalfheim	'''[[Malekith (Earth-616)|MALEKITH]]!'''  Not [[Thor (Thor Odinson)|Thor]] at all but Malekith!  I remember now!  I shall find you, Malekith!  I shall find you and wring the life from you drop by drop for what you did to me!	
1948	Kwannon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1949	Colin McKay (Earth-616)	Colin McKay	Kylun	{{M|MI-13}}; formerly {{M|Excalibur}}	[[Sa'tneen (Earth-148)|Sa'tneen]] (fiancé, deceased)	Earth-616	Male	5'11&quot;	170 lbs	Red	Orange	United Kingdom	NA	
1950	Kymaera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1951	La (Earth-616)	La	NA	{{m|House of Agon|Inhuman Royal Family}}	[[Kobar (Earth-616)|Kobar]] (husband);&lt;br&gt;	Earth-616	Female	NA	NA	NA	NA	Attilan	NA	
1952	La Lunatica (Earth-928)	NA	La Lunatica	{{m|Avengers}}; formerly {{m|X-Peditioners}}, {{m|X-Men}}, [[Halo City|Halo City Protectorate]], {{m|Norns}}, {{m|Theatre of Pain}}, {{m|Avengers}}	[[Brimstone Love (Earth-928)|Brimstone Love]] (alleged father)	Earth-928	Female	NA	NA	Red	White	Mexican	NA	
1954	Woodstock Schumaker (Earth-616)	Woodstock Schumaker	Lacuna	{{m|X-Statix}}	NA	Earth-616	Female	5'7&quot;	127 lbs	Blue	Blonde	American	NA	
1955	Yuriko Oyama (Earth-616)	Yuriko Oyama 	[[Lady Deathstrike]]	{{m|Weapon X-Force (Earth-616)|Weapon X-Force}}; Formerly {{M|Sisterhood of Mutants}}, {{m|Descendants}}, Oyama Heavy Industries, {{M|Reavers}}, {{M|Thunderbolts}}, {{m|Wolverines}}, ally of the [[Purifiers (Earth-616)|Purifiers]]	[[Kenji Oyama (Earth-616)|Kenji Oyama]] (father, deceased);&lt;br&gt;	Earth-616	Female	5'9&quot;	128 lbs	Brown 	Black 	Japanese	I have been cheated of my birthright... my human essence and now... my just and long-awaited revenge -- but I will not be cheated of my honor [[James Howlett (Earth-616)|gaijin dog]]!	
1956	Samantha Dunbar (Heroes Reborn) (Earth-616)	Samantha Dunbar	Lancer	Ally of [[Victor von Doom (Earth-616)|Dr. Doom]]	NA	Earth-616	Female	6'0&quot;	180 lbs	Blue	Brown	American	NA	
