<id>	<title>	<Relatives>
635560	Jennifer	[[Robert Bruce Banner (Earth-12041)|Hulk]] (cousin)
635657	Buzzkill	Unnamed sister
635662	Barry	Unnamed mother
636003	Jennifer	[[Bruce Bananner (Earth-95019)|Bruce Bananner]] (maternal cousin)
636098	Brian	Meggan Braddock (wife)
636106	Jennifer	[[Robert Bruce Banner (Earth-21050)|Bruce Banner]] (maternal cousin)
636126	Jennifer	[[Robert Bruce Banner (Earth-808122)|Bruce Banner]] (maternal cousin)
636131	Hobar	[[Muzon (Earth-616)|Muzon]] (son), [[Tiqua (Earth-616)|Tiqua]] (daughter)
636424	Baal	[[En Sabah Nur (Earth-11052)|En Sabah Nur]] (foster son)
636481	Black	[[Danielle Moonstar (Earth-11052)|Danielle Moonstar]] (grand-daughter)
636488	Katherine	[[Christopher Summers (Earth-11052)|Christopher Summers]] (husband); [[Scott Summers (Earth-11052)|Scott Summers]] (son); [[Alexander Summers (Earth-11052)|Alexander Summers]] (son);
636489	Christopher	[[Katherine Summers (Earth-11052)|Katherine Summers]] (wife),  [[Scott Summers (Earth-11052)|Scott Summers]] (son); [[Alexander Summers (Earth-11052)|Alexander Summers]] (son);
636507	Jean-Luc	[[Remy LeBeau (Earth-11052)|Remy LeBeau]] (adoptive son)
636798	Jennifer	[[Robert Bruce Banner (Earth-61112)|Bruce Banner]] (maternal cousin)
636837	Reed	[[Susan Storm (Earth-61112)|Susan Storm]] (wife); [[Jonathan Storm (Earth-61112)|Johnny Storm]] (brother-in-law); [[Franklin Richards (Earth-61112)|Franklin Richards]] (son); [[Valeria Richards (Earth-61112)|Valeria Richards]] (daughter)
636863	Blackagar	[[Gorgon (Earth-61112)|Gorgon]] (paternal cousin);[[Karnak (Earth-61112)|Karnak]] (maternal cousin);[[Medusalith Amaquelin (Earth-61112)|Medusa]] (wife and second cousin); [[Crystalia Amaquelin (Earth-61112)|Crystal]] (sister-in-law and second cousin)
636893	Bruce	[[Elizabeth Ross (Earth-61112)|Betty Ross]] (ex-wife), [[Jennifer Walters (Earth-61112)|Jennifer Walters]] (cousin)
637158	Beverly	[[Jimmy (Earth-83234)|Jimmy]] (fiancé)
637168	Hercules	[[Zeus Panhellenios (Earth-1610)|Zeus]] (father)
637249	Lyra	[[Robert Bruce Banner (Earth-1064)|Hulk]] (father, deceased)
637263	Bruce	[[Elizabeth Ross (Earth-1064)|Betty Ross]] (ex-wife); [[Lyra (Earth-1064)|Lyra]] (daughter)
637268	Thaddeus	[[Elizabeth Ross (Earth-1064)|Betty Ross]] (daughter); [[Robert Bruce Banner (Earth-1064)|Bruce Banner]] (ex son-in-law, deceased)
637271	Thaddeus	[[Elizabeth Ross (Earth-13159)|Betty Ross]] (daughter)
637567	Elizabeth	[[Thaddeus Ross (Earth-13159)|Thunderbolt Ross]] (father)
637575	Elizabeth	[[Thaddeus Ross (Earth-1064)|Thaddeus Ross]], (father, deceased); [[Robert Bruce Banner (Earth-1064)|Bruce Banner]] (husband, deceased); [[Samuel Sterns (Earth-1064)|Samuel Sterns]] (fiancèe)
637576	Elizabeth	[[Thaddeus Ross (Earth-7642)|Thaddeus Ross]], (father); [[Robert Bruce Banner (Earth-7642)|Bruce Banner (Hulk)]] (husband)
637707	Abraham	Thomas  Nancy Lincoln (parents, deceased); Mary Todd Lincoln (wife, deceased); Robert, Edward, William, Tad Lincoln (sons, deceased)
637729	James	Sarah Childress (wife)
637732	Millard	Abigail Fillmore (wife)
637818	Thaddeus	[[Elizabeth Ross (Earth-9691)|Betty Ross-Banner]] (daughter); [[Bruce Banner (Earth-9691)|Col. Bruce Banner]] (son-in-law)
637829	Rich	[[Frank Castle (Earth-92131)|Frank Castle (Punisher)]]
637847	Thaddeus	[[Elizabeth Ross (Earth-61018)|Betty Ross]] (daughter)
637849	Elizabeth	[[Thaddeus Ross (Earth-61018)|Thaddeus Ross]], (father)
637853	Elizabeth	[[Thaddeus Ross (Earth-9992)|Thaddeus Ross]], (father)
637854	Elizabeth	[[Thaddeus Ross (Earth-61112)|Thaddeus Ross]], (father); [[Robert Bruce Banner (Earth-61112)|Bruce Banner]] (ex-husband)
637856	Elizabeth	[[Thaddeus Ross (Earth-95371)|Maj. Thaddeus "Thunderbolt" Ross]], (father); [[Bruce Banner (Earth-95371)|Bruce Banner]] (husband)
637860	Thaddeus	[[Elizabeth Ross (Earth-600026)|Betty Ross]] (daughter)
638026	Jennifer	[[Impossible Man (Earth-95397)|Impossible Man]] (creator)
638148	Ulik	[[Venom (Symbiote) (Earth-12041)|Venom]] (former symbiote)
638768	Daimon	[[Dormammu (Earth-12131)|Dormammu]] (alleged grandfather);[[Satana Hellstrom (Earth-12131)|Satana]] (sister)
638820	Star	[[Noh-Varr (Earth-200080)|Noh-Varr]] (son), [[Captain Glory (Earth-200080)|Captain Glory]] (husband, deceased),
638825	Star	[[Noh-Varr (Earth-TRN285)|Noh-Varr]] (son)
638829	Noh-Varr	[[Captain Glory (Earth-TRN285)|Captain Glory]]  (father),[[Star Splendor (Earth-TRN285)|Star Splendor]] (Mother)
638864	Captain	[[Noh-Varr (Earth-TRN285)|Noh-Varr]] (son)
638867	Captain	[[Noh-Varr (Earth-200080)|Noh-Varr]] (son), [[Star Splendor (Earth-200080)|Star Splendor]] (wife, deceased),
639018	Oubliette	[[Noh-Varr (Earth-5582)|Noh-Varr]] (lover)
639032	Noh-Varr	[[Oubliette Midas (Earth-5582)|Oubliette]] (lover),[[Noh-Varr (Clones) (Earth-5582)|Noh-Varr Clones Army]] ("brothers"/clones)
639035	Noh-Varr	[[Noh-Varr (Earth-5582)|Noh-Varr]] ("brother"/clonal source)
639238	Peter	[[Meredith Quill (Earth-12041)|Meredith Quill]] (mother, deceased);
639241	Gamora	Unnamed parents (deceased);[[Thanos (Earth-12041)|Thanos]] (adoptive father);[[Nebula (Earth-12041)|Nebula]] (adoptive sister);[[Korath (Earth-12041)|Korath]] (adoptive brother)
639243	89P13	Unnamed mother, [[Ranger (Earth-12041)|Ranger]] (older brother), unnamed sister
639387	Blackagar	[[Medusalith Amaquelin (Earth-6513)|Medusa]] (wife)
639635	Drasil	Kirhak (brother, deceased)
639805	Iron	[[Anthony Stark (Earth-616)|Tony Stark]] (creator)
639822	Cletus	[[Carnage (Klyntar) (Earth-7642)|Carnage]] (symbiote)
639870	Peter	[[May Reilly (Earth-35125)|May Parker]] (aunt, deceased)
639904	Richard	Unnamed mother [[Richard Jones III (Earth-TRN572)|RJ3]] (possible descendants)
639920	Thaddeus	[[Elizabeth Ross (Earth-12041)|Betty Ross]] (daughter) [[Betts (Earth-TRN572)|Betts]], [[Thadd (Earth-TRN572)|Thadd]] (possible descendants)
640143	Jonathan	[[Susan Storm (Earth-TRN025)]]
640144	Susan	[[Jonathan Storm (Earth-TRN025)|Jonathan Storm]] (brother)
640217	Reed	[[Franklin Richards (Earth-89771)|Franklin Richards]] (son)
640219	Vision	[[Ultron (Earth-12041)|Ultron]] (creator)
640230	Bethany	[[John Proudstar (Earth-11326)|John Proudstar]] (half-brother, deceased);[[James Proudstar (Earth-11326)|James Proudstar (Berserker)]] (half-brother)
640253	Franklin	[[Reed Richards (Earth-20051)|Mr. Fantastic]] (father);
640306	Reed	[[Susan Storm (Earth-TRN307)|Sue Storm]] (wife, deceased)
640310	Victor	 
640322	Mark	[[Elizabeth Allan (Earth-9411)|Liz Allan]] (step-sister)
640404	Shingen	[[Yashida (Earth-10005)|Master Yashida]] (father, deceased), [[Mariko Yashida (Earth-10005)|Mariko Yashida]] (daughter)
640529	Mia	{{a|[[Roger Hochberg (Earth-616)]]}}
640675	Ro-Nan	[[Esa-La (Earth-1610)|Esa-La]] (wife);[[Dra-Ta (Earth-1610)|Dra-Ta]] (son);
640689	Kalxor	Parents (deceased)
640752	Heather	[[Derek Bishop (Earth-616)|Derek Bishop]] (husband),[[Susan Bishop (Earth-616)|Susan Bishop]] (step-daughter),[[Katherine Bishop (Earth-616)|Kate Bishop]] (step-daughter),
640754	Proxima	[[Corvus Glaive (Earth-616)|Corvus Glaive]] (husband);
640765	Black	[[Corvus Glaive (Earth-616)|Corvus Glaive]] (brother);
640766	Eleanor	[[Derek Bishop (Earth-616)|Derek Bishop]] (husband),[[Susan Bishop (Earth-616)|Susan Bishop]] (daughter),[[Katherine Bishop (Earth-616)|Kate Bishop]] (daughter)
640977	Ophelia	[[Thomas Jones (Earth-616)|Alchemy (Thomas Jones)]] (son),[[Ellie Jones (Earth-616)|Ellie Jones]] (daughter)
640981	Beatrice	[[Malcolm McBride (Earth-616)|Malcolm]] (son) 
641015	Yashida	[[Shingen Yashida (Earth-10005)|Shingen Yashida]] (son, deceased);[[Mariko Yashida (Earth-10005)|Mariko Yashida]] (granddaughter)
641030	Torbert	[[Mary Lavinia Octavius (Earth-616)|Mary Lavinia Octavius]] (wife, deceased);[[Otto Octavius (Earth-616)|Otto Octavius]] (son);[[Elias Hargrove (Earth-616)|Elias Hargrove]] (nephew)
641037	Mary	[[Torbert Octavius (Earth-616)|Torbert Octavius]] (husband, deceased);[[Otto Octavius (Earth-616)|Otto Octavius]] (son, deceased);[[Elias Hargrove (Earth-616)|Elias Hargrove]] (nephew)
641107	Steven	[[Janice Caccone (Earth-616)|Janice Caccone]] (wife, deceased); [[Ralph Caccone (Earth-616)|Ralph Caccone]] (son)
641108	Janice	[[Steven Caccone (Earth-616)|Steven Caccone]] (husband, deceased); [[Ralph Caccone (Earth-616)|Ralph Caccone]] (son)
641109	Ralph	[[Steven Caccone (Earth-616)|Steven Caccone]] (father, deceased); [[Janice Caccone (Earth-616)|Janice Caccone]] (mother, deceased)
641125	Veronica	[[Victor Frankenstein (Earth-616)|Victor Frankenstein]] (great-grandfather){{r|Frankenstein Vol 1 18}}; [[Basil Frankenstein (Earth-616)|Basil Frankenstein]] (grandfather); [[Vincent Frankenstein (Earth-616)|Vincent Frankenstein]] (great-Grandfather); [[Ludwig von Frankenstein (Earth-616)|Ludwig von Frankenstein]] (father); [[Victoria von Frankenstein (Earth-616)|Victoria von Frankenstein]] (sister)
641385	NA	Male
641428	Justin	[[Sasha Hammer (Earth-12041)|Sasha Hammer]]
641442	Benjamin	[[Alicia Masters (Earth-9061)|Alicia Masters]] (wife)
641483	Super-Adaptoid	[[Justin Hammer (Earth-12041)|Justin Hammer]] (creator)
641535	Amanda	[[Walter Cage (Earth-12041)|Walter Cage]] (husband);
641536	Walter	[[Amanda Cage (Earth-12041)|Amanda Cage]] (wife);
641613	NA	Male
641689	Mutate	unnamed mother
641804	Chris	 Unnamed mother (deceased); [[Staci Murphy (Earth-616)|Stacy]] (wife); [[Melissa Murphy (Earth-616)|Melissa Murphy]] (sister-in-law)
641825	Tu	Allegedly nine offspring
641851	Katherine	[[Katherine Pryde (Earth-13729)|Professor Pryde]] (alternate version)
642189	Andrea	[[Philadelphia/Residents#Mr. Benton (Earth-616)|Mr. Benton]] (father, deceased);Unnamed mother;Unnamed aunt;[[Mania (Klyntar) (Earth-616)|Mania]] (former symbiote)
642200	Frederick	[[Woodrow Wilson (Earth-TRN245)|Woodrow Wilson]] (uncle)
642337	Tabitha	[[Arthur DeLacourte (Earth-616)|Arthur DeLacourte]]
642355	NA	Male
642482	Reed	[[Susan Storm (Earth-12665)|Susan Richards]] (wife, deceased); [[Franklin Richards (Earth-12665)|Franklin Richards]] (son)
642614	Hugh	[[Maxwell Taylor (Earth-616)|Maxwell Taylor]] (brother), [[Orwell Taylor (Earth-616)|Orwell Taylor]] (father)
642628	Phillip	[[Phillip Cussler, Sr. (Earth-616)|Phillip Cussler, Sr.]] (father)
642629	Phillip	[[Phillip Cussler, Jr. (Earth-616)|Phillip Cussler, Jr.]] (son)
642889	Katie	[[Edith Sawyer (Earth-616)|Edith Sawyer]] (mother)
642915	Ann	[[Thomas Raymond (Earth-616)|Toro]] (husband); [[Jim Hammond|Jim Hammond]] (foster "father"-in-law);.
642947	Jade	Unnamed father (deceased)
642960	Tim	[[Professor John Roberts (Earth-616)|Professor John Roberts]] (uncle)
642969	John	[[Tim Roberts (Earth-616)|Tim Roberts]] (nephew)
643006	Hyperion	Earth-12041
643023	Charles	[[Cain Marko (Earth-12131)|Cain Marko]] (step-brother)
643118	Skaar	[[Gamma Venom (Symbiote) (Earth-12041)|Gamma Venom]] (former symbiote)
643132	Lucas	[[Charles Xavier (Earth-11052)|Charles Xavier]] (father) 
643317	Ultron	[[Henry Pym (Earth-61112)|Henry Pym]] (creator)
643318	Ooktron	[[Henry Pym (Earth-95019)|Hank Pym]] (creator)
643330	Celestia	[[Alvin Denton (Earth-616)|Alvin Denton]] (husband, deceased), [[Barbara Norriss (Earth-616)|Barbara Norriss]] (daughter), [[Jack Norriss (Earth-616)|Jack Norriss]] (son-in-law)
643354	MacDonald	[[Venom (Klyntar) (Earth-12131)|Venom Symbiote]]
643402	Venom	[[Eugene Thompson (Earth-12131)|Flash Thompson]] (current host)[[MacDonald Gargan (Earth-12131)|Mac Gargan]] (former host)[[Peter Parker (Earth-12131)|Peter Parker]] (former host), [[Edward Brock (Earth-12131)| Eddie Brock]] (former host)
643468	Phillip	[[Alicia Masters (Earth-8107)|Alicia Masters]] (step daughter)
643484	Peter	Unnamed wife;
643499	NA	Male
643872	Chu	[[Pu Yi (Earth-616)|Pu Yi]] (great-grandfather, deceased)
644356	Ian	[[Charles Xavier (Earth-11052)|Charles Xavier]] (father);
644667	Randy	Unnamed father (deceased), Cash Clayton (uncle, deceased)
644673	Wyatt	Nicholas Earp (father, deceased), Virginia Earp (mother, decased), Newton, James, Virgil, Morgan, Warren (brothers, all deceased), Martha, Adelia (sisters, both deceased), Urilla Sutherland (wife, deceased), Cecilia Ann Blaylock (common-law wife, deceased), Josephine Sarah Marcus (common-law wife, deceased), unnamed child (died during child birth)
644774	Mary	[[Peter Parker (Earth-77013)|Peter Parker]] (husband)[[Anna May (Earth-77013)|Anna Watson]] (aunt)[[Spencer Watson (Earth-77013)|Spencer Watson]] (uncle)[[May Reilly (Earth-77013)|May Parker]] (aunt-by-marriage)[[Benjamin Parker (Earth-77013)|Ben Parker]] (uncle-by-marriage, deceased)
645829	Aaron	[[Owen Reece (Earth-12041)|Owen Reece]] (father) unnamed estranged mother
645951	Owen	[[Aaron Reece (Earth-12041)|Aaron Reece]] (son)
652712	Samuel	[[Samuel Sterns Jr. (Earth-TRN572)|Junior]] (possible future son)
652843	Iliana	[[Piotr Rasputin (Earth-717)|Piotr Rasputin]] (brother)
653054	Jean	[[Joaquin Pennysworth (Earth-616)|Joaquin Pennysworth]] (son)
653110	Elias	[[Thomas Hargrove (Earth-616)|Thomas Hargrove]] (brother)[[Torbert Octavius (Earth-616)|Torbert Octavius]] (uncle, deceased)[[Mary Lavinia Octavius (Earth-616)|Mary Lavinia Octavius]] (aunt, deceased)[[Otto Octavius (Earth-616)|Otto Octavius]] (cousin); 
653394	Diablo	André Lear (brother, deceased)
653565	Hag	Unnamed son{{r|Devil Dinosaur #9}}
653609	Reed	[[Susan Storm (Earth-30987)|Susan Richards (Invisible Woman)]] (wife); [[Franklin Richards (Earth-30987)|Franklin Richards]] (son); [[Jonathan Storm (Earth-30987)|Johnny Storm (Human Torch)]] (brother-in-law)
653631	Peter	[[May Reilly (Earth-7041)|May Parker]] (aunt)
653637	Helmut	Heinrich Zemo (father, deceased)
653684	Elektra	Hugo Kostas Natchios (father, deceased)
653708	Moltar	[[Feldspar (Earth-616)|Lord Feldspar]] (uncle);[[Crystar (Earth-616)|Crystar]] (brother)
653710	Feldspar	[[Crystar (Earth-616)|Crystar]], [[Moltar (Earth-616)|Moltar]] (nephews)
653718	Ogeode	[[Shen (Earth-616)|Shen]] (wife);[[Ika (Earth-616)|Ika]] (daughter)
653729	Koth	[[Ranilla (Earth-616)|Ranilla]] (wife, deceased);
653733	Stalax	Earth-616
653735	Kalibar	[[Minay (Earth-616)|Minay]] (wife) Unnamed son Unnamed daughter
653761	Minay	[[Kalibar (Earth-616)|Kalibar]] (husband) Unnamed son Unnamed daughter
653765	Ranilla	[[Koth (Earth-616)|Koth]] (husband)
653804	Shen	[[Ogeode (Earth-616)|Ogeode]] (husband), [[Ika (Earth-616)|Ika]] (daughter)
653808	Bekk	Earth-616
653848	Mephisto	[[Blackheart (Earth-12131)|Blackheart]] (son)
653869	Joanie	[[Advanced Idea Mechanics (Earth-616)|A.I.M.]] (creators)
653908	Thaddeus	[[Elizabeth Ross (Earth-50302)|Betty Ross ]] (daughter);
653913	Elizabeth	[[Thaddeus Ross (Earth-50302)|Gen. Thaddeus "Thunderbolt" Ross]], (father)
653935	Zinnia	Considers other Zom police robots to be her "babies"
654195	Yolinda	[[Category:Turanian Royal Family]][[Yildiz (Earth-616)|King Yildiz]] (grandfather);
654205	Sir	[[Ban of Benwick (Earth-616)|King Ban of Benwick]] (father, deceased);[[Niamh Chinn Óir (Earth-616)|Lady of the Lake]] (adoptive mother);[[Augustine du Lac (Earth-616)|Black Knight (Augustine du Lac)]] (descendant)
654222	Thor	[[Odin Borson (Earth-50302)|Odin]] (father)
654223	Rosamund	[[Sir Percy of Scandia (Earth-616)|Black Knight]] (husband, deceased), Edward, Geoffrey (sons, deceased)
654225	El	[[John O'Dare (Earth-616)|Sir John O'Dare]] (brother, deceased); Lady O'Dare (mother, deceased)
654228	Guinevere	[[Arthur Pendragon (Earth-616)|King Arthur]] (husband, estranged)
654442	William	[[Casey Kinmont (Earth-616)|Casey Kinmont]] (grand daughter), [[Donnie Kinmont (Earth-616)|Donny]] (grandson)
654905	Alex	Allan Anderson (father), Mrs. Anderson (mother),
654912	Jen	[[Peter Seyfert (Earth-616)|Pete]] (ex-husband),
655002	[[Uatu|U-Tu]]	Male
655020	Jeff	Unnamed wife, Unnamed son, Unnamed daughter,  
655054	Makoto	[[Hayate (Earth-101001)|Hayate]] (father, deceased)
655056	Noah	Blade (foster son)
655130	Ogress	[[Samuel Sterns (Earth-534834)|The Leader]] (creator)
655364	Shot	[[Shell (Shadowforce Alpha) (Earth-616)|Shell]] (twin brother)
655535	Benjamin	[[Petunia Grimm (Earth-200500)|Petunia Grimm]] (aunt, deceased)
655563	Benjamin	[[Petunia Grimm (Earth-22177)|Petunia Grimm]] (aunt)
655564	Reed	[[Susan Storm (Earth-22177)|Susan Storm]] (wife); [[Jonathan Storm (Earth-22177)|Johnny Storm (Human Torch)]] (brother-in-law, deceased)
655799	Benjamin	[[Franklin Richards (Earth-808122)|Franklin Richards]] (adopted son)
655801	Elizabeth	[[Thaddeus Ross (Earth-820231)|Gen. Thaddeus "Thunderbolt" Ross]], (father)
655803	Thaddeus	[[Elizabeth Ross (Earth-820231)|Betty Ross]] (daughter)
655897	Reed	[[Susan Storm (Earth-12041)|Susan Richards]] (wife){{r|Hulk and the Agents of S.M.A.S.H. Season 1 21}}[[Jonathan Storm (Earth-12041)|Jonathan Storm]] (brother-in-law)
655899	Jonathan	[[Susan Storm (Earth-12041)|Sue Storm]] (sister) [[Reed Richards (Earth-12041)|Reed Richards]] (brother-in-law)
655900	Susan	[[Jonathan Storm (Earth-12041)|Jonathan Storm]] (brother)[[Reed Richards (Earth-12041)|Reed Richards ]] (husband)
655935	Smedley	[[Wilson Fisk (Earth-616)|Wilson Fisk]] (genetic double)
655940	Jaime	[[Leonardo Maldonado (Earth-616)|Leo Maldonado]] (son)
655943	Leo	[[Jaime Maldonado (Earth-616)|Jamie Maldonado]] (father)
656014	Susan	[[Reed Richards (Earth-36)|Reed Richards (Mister Fantastic)]] (husband);  [[Franklin Richards (Earth-36)|Franklin Richards]] (son);  [[Jonathan Storm (Earth-36)|Jonathan Storm (Human Torch)]] (brother);
656580	Eric	[[Simon Williams (Earth-12131)|Simon Williams]] (brother)
656619	Taneleer	[[En Dwi Gast (Earth-12041)|En Dwi Gast]] (brother)
656649	Susan	[[Reed Richards (Earth-906)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-906)|Jonathan Storm (Human Torch)]] (brother);
656672	Thor	[[Odin Borson (Earth-928)|Odin]] (father); [[Balder Odinson (Earth-928)|Balder]] (brother)
656764	Norman Osborn	Male
656850	Susan	[[Jonathan Storm (Earth-929)|Jonathan Storm (Human Torch)]] (brother);
656852	Susan	[[Jonathan Storm (Earth-944)|Jonathan Storm (Human Torch)]] (brother);
656855	Susan	[[Reed Richards (Earth-957)|Reed Richards (Mister Fantastic)]] (husband);   [[Jonathan Storm (Earth-957)|Jonathan Storm (Human Torch)]] (brother);
656861	Susan	[[Reed Richards (Earth-989)|Reed Richards (Mister Fantastic)]] (husband, deceased);  [[Franklin Richards (Earth-989)|Franklin Richards]] (son);  [[Jonathan Storm (Earth-989)|Jonathan Storm (Human Torch)]] (brother, deceased);
656864	Susan	[[Reed Richards (Earth-1089)|Reed Richards (Mister Fantastic)]] (husband);  [[Franklin Richards (Earth-1089)|Franklin Richards]] (son);  [[Jonathan Storm (Earth-1089)|Jonathan Storm (Human Torch)]] (brother);
656908	Kevin	[[Russell Green (Earth-95132)|Russell Green]] (father), [[Ruth Green (Earth-95132)|Ruth Green]] (mother), [[Primevil (Earth-95132)|Primevil]] (dicarded husk)
656933	Russell	[[Ruth Green (Earth-95132)|Ruth Green]] (wife), [[Kevin Green (Earth-95132)|Kevin Green (Prime)]] (son), 
656934	Ruth	[[Russell Green (Earth-95132)|Russell Green]] (husband), [[Kevin Green (Earth-95132)|Kevin Green (Prime)]] (son)
657006	Susan	[[Reed Richards (Earth-1112)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-1112)|Jonathan Storm (Human Torch)]] (brother);
657009	Susan	[[Jonathan Storm (Earth-1611)|Jonathan Storm (Human Torch)]] (brother);
657012	Susan	[[Jonathan Storm (Earth-2021)|Jonathan Storm]] (brother);
657017	Primevil	[[Kevin Green (Earth-95132)|Prime (Kevin Green)]] (DNA Donor)
657019	Susan	[[Reed Richards (Earth-6077)|Reed Richards]] (husband);  [[Franklin Richards (Earth-6077)|Franklin Richards]] (son);  [[Valeria Richards (Earth-6077)|Valeria Richards]] (daughter);
657021	Susan	[[Reed Richards (Earth-6513)|Reed Richards (Mister Fantastic)]] (husband);  [[Franklin Richards (Earth-6513)|Franklin Richards]] (son);  [[Jonathan Storm (Earth-6513)|Jonathan Storm (Human Torch)]] (brother);
657022	Susan	[[Reed Richards (Earth-6716)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-6716)|Jonathan Storm (Human Torch)]] (brother);
657023	Susan	[[Jonathan Storm (Earth-6730)|Johnny Storm]] (brother);
657029	Susan	[[Jonathan Storm (Earth-7187)|Johnny Storm (Human Torch)]] (brother);
657031	Susan	[[Reed Richards (Earth-7642)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-7642)|Johnny Storm (Human Torch)]] (brother);
657035	Susan	[[Jonathan Storm (Earth-7940)|Johnny Storm (Human Torch)]] (brother);
657145	Alex	[[Belle Kurtz (Earth-616)|Belle]] (wife)
657174	Susan	[[Reed Richards (Earth-7958)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-7958)|Johnny Storm (Human Torch)]] (brother);
657175	Susan	[[Reed Richards (Earth-8041)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-8041)|Johnny Storm (Human Torch)]] (brother);
657176	Susan	[[Jonathan Storm (Earth-8222)|Johnny Storm]] (brother)
657178	Susan	[[Jonathan Storm (Earth-8861)|Johnny Storm (Human Torch)]] (brother);
657179	Susan	[[Reed Richards (Earth-8910)|Reed Richards (Mister Fantastic)]] (husband); [[Jonathan Storm (Earth-8910)|Johnny Storm (Invisible Man)]] (brother);
657181	Susan	[[Reed Richards (Earth-9009)|Reed Richards (Mister Fantastic)]] (husband); [[Jonathan Storm (Earth-9009)|Johnny Storm (Human Torch)]] (brother)
657182	Susan	[[Jonathan Storm (Earth-9011)|Johnny Storm (Human Torch)]] (brother);
657184	Susan	[[Reed Richards (Earth-9061)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-9061)|Johnny Storm (Human Torch)]] (brother);
657225	Lily	Tybold Lucca (father, deceased)
657274	Susan	[[Reed Richards (Earth-9230)|Reed Richards]] (husband);[[Jonathan Storm (Earth-9230)|Johnny Storm (Human Torch)]] (brother)
657275	Susan	[[Jonathan Storm (Earth-9290)|Johnny Storm (Human Torch)]] (brother)
657278	Susan	[[Reed Richards (Earth-9510)|Reed Richards (Mister Fantastic)]] (husband, deceased);  [[Franklin Richards (Earth-9510)|Franklin Richards]] (son);  [[Jonathan Storm (Earth-9510)|Johnny Storm (Human Torch)]] (brother, deceased);
657279	Susan	[[Reed Richards (Earth-9590)|Reed Richards (Mister Fantastic)]] (husband)
657280	Susan	[[Reed Richards (Earth-9871)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-9871)|Johnny Storm (Human Torch)]] (brother);
657287	Reed	[[Susan Storm (Earth-12101)|Sue Storm]] (wife)
657295	Susan	[[Reed Richards (Earth-10223)|Reed Richards (Mister Fantastic)]] (husband, deceased);  [[Jonathan Storm (Earth-10223)|Johnny Storm (Human Torch)]] (brother, deceased);
657348	Susan	[[Reed Richards (Earth-11035)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-11035)|Johnny Storm (Human Torch)]] (brother);
657349	Susan	[[Jonathan Storm (Earth-11113)|Johnny Storm]] (brother, deceased)
657350	Susan	[[Reed Richards (Earth-11120)|Reed Richards (Mister Fantastic)]] (husband); 
657352	Susan	[[Reed Richards (Earth-11201)|Reed Richards (Mr. Fantastic)]] (husband);[[Jonathan Storm (Earth-11201)|Johnny Storm (Hunan Torch)]] (brother)
657361	Susan	[[Reed Richards (Earth-12665)|Reed Richards (Mister Fantastic)]] (husband, deceased);  [[Franklin Richards (Earth-12665)|Franklin Richards]] (son);  [[Jonathan Storm (Earth-12665)|Johnny Storm (Human Torch)]] (brother, deceased);
657363	Susan	[[Reed Richards (Earth-21050)|Reed Richards]] (husband);
657367	Susan	[[Reed Richards (Earth-22177)|Reed Richards]] (husband);[[Jonathan Storm (Earth-22177)|Johnny Storm (Human Torch)]] (brother, deceased)
657369	Susan	[[Reed Richards (Earth-22795)|Reed Richards (Mister Fantastic)]] (husband); 
657371	Susan	[[Jonathan Storm (Earth-28918)|Johnny Storm]] (brother, deceased);
657373	Susan	[[Reed Richards (Earth-30987)|Reed Richards (Mister Fantastic)]] (husband);  [[Franklin Richards (Earth-30987)|Franklin Richards]] (son);  [[Jonathan Storm (Earth-30987)|Johnny Storm (Human Torch)]] (brother);
657376	Susan	[[Jonathan Storm (Earth-31117)|Johnny Storm]] (brother, deceased);
657380	Susan	[[Jonathan Storm (Earth-49487)|Human Torch]] (brother);
657385	Susan	[[Jonathan Storm (Earth-50302)|Johnny Storm (Human Torch)]] (brother);
657387	Susan	[[Jonathan Storm (Earth-64894)|Johnny Storm (Human Torch)]] (brother);
657388	Susan	[[Reed Richards (Earth-71016)|Reed Richards (Mister Fantastic)]] (husband);  [[Franklin Richards (Earth-71016)|Franklin Richards]] (son);  [[Jonathan Storm (Earth-71016)|Johnny Storm (Human Torch)]] (brother);
657389	Susan	[[Reed Richards (Earth-77119)|Reed Richards (Mister Fantastic)]] (husband);[[Jonathan Storm (Earth-77119)|Johnny Storm (Human Torch)]] (brother)
657392	Susan	[[Reed Richards (Earth-81426)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-81426)|Johnny Storm (Human Torch)]] (brother);
657400	Susan	[[Reed Richards (Earth-90110)|Reed Richards (Mister Fantastic)]] (husband);  [[Jonathan Storm (Earth-90110)|Johnny Storm (Human Torch)]] (brother);
